nmr.gene_id,nmr.symbol,mouse.gene_id,mouse.symbol
101712282,LOC101712282,ENSMUSG00000037977,6430571L13Rik
101712874,Hemk1,ENSMUSG00000032579,Hemk1
101716746,Cish,ENSMUSG00000032578,Cish
101717099,Mapkapk3,ENSMUSG00000032577,Mapkapk3
101718931,Dock3,ENSMUSG00000039716,Dock3
101719750,Manf,ENSMUSG00000032575,Manf
101720102,Rbm15b,ENSMUSG00000074102,Rbm15b
101720808,Vprbp,ENSMUSG00000040325,Vprbp
101721867,Rad54l2,ENSMUSG00000040661,Rad54l2
101722453,Tex264,ENSMUSG00000040813,Tex264
101722804,Grm2,ENSMUSG00000023192,Grm2
101723373,Iqcf6,ENSMUSG00000091129,Iqcf6
101725172,Iqcf5,ENSMUSG00000066382,Iqcf5
101714413,LOC101714413,ENSMUSG00000066383,Iqcf1
101715123,Rrp9,ENSMUSG00000041506,Rrp9
101725931,Parp3,ENSMUSG00000023249,Parp3
101726543,Gpr62,ENSMUSG00000091735,Gpr62
101699011,Pcbp4,ENSMUSG00000023495,Pcbp4
101698120,Abhd14b,ENSMUSG00000042073,Abhd14b
101697510,Abhd14a,ENSMUSG00000042210,Abhd14a
101696409,Acy1,ENSMUSG00000023262,Acy1
101699593,Rpl29,ENSMUSG00000078240,Gm3550
101699953,Dusp7,ENSMUSG00000053716,Dusp7
101700310,Poc1a,ENSMUSG00000023345,Poc1a
101701151,Alas1,ENSMUSG00000032786,Alas1
101715478,Tlr9,ENSMUSG00000045322,Tlr9
101703392,Twf2,ENSMUSG00000023277,Twf2
101704234,Ppm1m,ENSMUSG00000020253,Ppm1m
101704836,Wdr82,ENSMUSG00000020257,Wdr82
101705421,Glyctk,ENSMUSG00000020258,Glyctk
101715830,Col6a6,ENSMUSG00000043719,Col6a6
101707122,Pik3r4,ENSMUSG00000032571,Pik3r4
101716870,LOC101716870,ENSMUSG00000024360,Etf1
101707859,Atp2c1,ENSMUSG00000032570,Atp2c1
101707490,Aste1,ENSMUSG00000032567,Aste1
101708450,Nek11,ENSMUSG00000035032,Nek11
101709761,Nudt16,ENSMUSG00000032565,Nudt16
101710105,Mrpl3,ENSMUSG00000032563,Mrpl3
101710708,Cpne4,ENSMUSG00000032564,Cpne4
101711436,Acpp,ENSMUSG00000032561,Acpp
101719278,Dnajc13,ENSMUSG00000032560,Dnajc13
101712996,Acad11,ENSMUSG00000090150,Acad11
101712630,Ackr4,ENSMUSG00000079355,Ackr4
101712064,Uba5,ENSMUSG00000032557,Uba5
101713364,Nphp3,ENSMUSG00000032558,Nphp3
101714067,Tmem108,ENSMUSG00000042757,Tmem108
101716747,Bfsp2,ENSMUSG00000032556,Bfsp2
101715117,Cdv3,ENSMUSG00000032803,Cdv3
101717100,Topbp1,ENSMUSG00000032555,Topbp1
101718231,LOC101718231,ENSMUSG00000033688,1300017J02Rik
101719398,LOC101719398,ENSMUSG00000032554,Trf
101719981,Srprb,ENSMUSG00000032553,Srprb
101720322,Rab6b,ENSMUSG00000032549,Rab6b
101721732,Slco2a1,ENSMUSG00000032548,Slco2a1
101722098,Ryk,ENSMUSG00000032547,Ryk
101723019,Amotl2,ENSMUSG00000032531,Amotl2
101724802,Anapc13,ENSMUSG00000035048,Anapc13
101723985,Cep63,ENSMUSG00000032534,Cep63
101725933,Ky,ENSMUSG00000035606,Ky
101726285,Ephb1,ENSMUSG00000032537,Ephb1
101697272,Ppp2r3a,ENSMUSG00000043154,Ppp2r3a
101698122,Msl2,ENSMUSG00000066415,Msl2
101699369,Pccb,ENSMUSG00000032527,Pccb
101698509,Stag1,ENSMUSG00000037286,Stag1
101701647,Slc35g2,ENSMUSG00000070287,Slc35g2
101702437,Nck1,ENSMUSG00000032475,Nck1
101721740,Il20rb,ENSMUSG00000044244,Il20rb
101704710,Sox14,ENSMUSG00000053747,Sox14
101705422,Cldn18,ENSMUSG00000032473,Cldn18
101706148,Dzip1l,ENSMUSG00000037784,Dzip1l
101723146,A4gnt,ENSMUSG00000037953,A4gnt
101707241,Dbr1,ENSMUSG00000032469,Dbr1
101707861,Armc8,ENSMUSG00000032468,Armc8
101723496,Nme9,ENSMUSG00000046242,Nme9
101709042,Mras,ENSMUSG00000032470,Mras
101711197,Esyt3,ENSMUSG00000037681,Esyt3
101711930,Cep70,ENSMUSG00000056267,Cep70
101713493,Faim,ENSMUSG00000032463,Faim
101715249,Pik3cb,ENSMUSG00000032462,Pik3cb
101716168,Foxl2,ENSMUSG00000050397,Foxl2
101724570,LOC101724570,ENSMUSG00000091080,Prr23a1
101716512,Mrps22,ENSMUSG00000032459,Mrps22
101717102,Copb2,ENSMUSG00000032458,Copb2
101718467,Rbp2,ENSMUSG00000032454,Rbp2
101719271,Rbp1,ENSMUSG00000046402,Rbp1
101719982,Nmnat3,ENSMUSG00000032456,Nmnat3
101724928,Clstn2,ENSMUSG00000032452,Clstn2
101721515,Trim42,ENSMUSG00000032451,Trim42
106009195,LOC106009195,ENSMUSG00000053862,Slc51b
101722907,Spsb4,ENSMUSG00000046997,Spsb4
101723262,Pxylp1,ENSMUSG00000043587,Pxylp1
101723622,Zbtb38,ENSMUSG00000040433,Zbtb38
101725433,Rasa2,ENSMUSG00000032413,Rasa2
101726050,LOC101726050,ENSMUSG00000099564,Gm28729
101696646,Rnf7,ENSMUSG00000051234,Rnf7
101697891,Atp1b3,ENSMUSG00000032412,Atp1b3
101698510,Tfdp2,ENSMUSG00000032411,Tfdp2
101700083,Gk5,ENSMUSG00000041440,Gk5
101701152,Xrn1,ENSMUSG00000032410,Xrn1
101701996,Atr,ENSMUSG00000032409,Atr
101702339,Pls1,ENSMUSG00000049493,Pls1
101696653,Trpc1,ENSMUSG00000032839,Trpc1
101703624,Pcolce2,ENSMUSG00000015354,Pcolce2
101704368,Paqr9,ENSMUSG00000064225,Paqr9
101705423,U2surp,ENSMUSG00000032407,U2surp
101706657,Chst2,ENSMUSG00000033350,Chst2
101707022,Slc9a9,ENSMUSG00000031129,Slc9a9
101707609,LOC101707609,ENSMUSG00000045414,1190002N15Rik
101708679,Plod2,ENSMUSG00000032374,Plod2
101709290,Plscr4,ENSMUSG00000032377,Plscr4
101709876,LOC101709876,ENSMUSG00000032372,Plscr2
101710962,Plscr5,ENSMUSG00000095654,Plscr5
101712065,Zic4,ENSMUSG00000036972,Zic4
101711693,Zic1,ENSMUSG00000032368,Zic1
101714068,Agtr1,ENSMUSG00000049115,Agtr1a
101715608,Cpb1,ENSMUSG00000011463,Cpb1
101715950,Cpa3,ENSMUSG00000001865,Cpa3
101716513,Gyg1,ENSMUSG00000019528,Gyg
101719751,Hltf,ENSMUSG00000002428,Hltf
101717679,Hps3,ENSMUSG00000027615,Hps3
101717103,Cp,ENSMUSG00000003617,Cp
101721271,Tm4sf1,ENSMUSG00000027800,Tm4sf1
101721869,Tm4sf4,ENSMUSG00000027801,Tm4sf4
101722908,Wwtr1,ENSMUSG00000027803,Wwtr1
101723492,Commd2,ENSMUSG00000036513,Commd2
101723852,Ankub1,ENSMUSG00000074591,Ankub1
101725061,Rnf13,ENSMUSG00000036503,Rnf13
101725935,Pfn2,ENSMUSG00000027805,Pfn2
101697639,Tsc22d2,ENSMUSG00000027806,Tsc22d2
101698878,Serp1,ENSMUSG00000027808,Serp1
101699237,Eif2a,ENSMUSG00000027810,Eif2a
101699594,LOC101699594,ENSMUSG00000075700,Selenot
101707131,Erich6,ENSMUSG00000070471,Erich6
101699954,Siah2,ENSMUSG00000036432,Siah2
101700311,Clrn1,ENSMUSG00000043850,Clrn1
101703502,Med12l,ENSMUSG00000056476,Med12l
106009187,Gpr171,ENSMUSG00000050075,Gpr171
101703159,P2ry14,ENSMUSG00000036381,P2ry14
106009172,Gpr87,ENSMUSG00000051431,Gpr87
101702781,P2ry13,ENSMUSG00000036362,P2ry13
101701294,P2ry12,ENSMUSG00000036353,P2ry12
101700938,Igsf10,ENSMUSG00000036334,Igsf10
101704584,Aadacl2,ENSMUSG00000090527,Gm5538
101705307,LOC101705307,ENSMUSG00000091376,Aadacl2
101706048,LOC101706048,ENSMUSG00000027761,Aadac
101706771,Sucnr1,ENSMUSG00000027762,Sucnr1
101707864,Mbnl1,ENSMUSG00000027763,Mbnl1
101710468,P2ry1,ENSMUSG00000027765,P2ry1
101711564,Rap2b,ENSMUSG00000036894,Rap2b
101713494,Arhgef26,ENSMUSG00000036885,Arhgef26
101714069,Dhx36,ENSMUSG00000027770,Dhx36
101714407,Gpr149,ENSMUSG00000043441,Gpr149
101715828,Mme,ENSMUSG00000027820,Mme
101717211,Plch1,ENSMUSG00000036834,Plch1
101718469,LOC101718469,ENSMUSG00000048581,E130311K13Rik
101719162,Slc33a1,ENSMUSG00000027822,Slc33a1
101719752,Gmps,ENSMUSG00000027823,Gmps
101720103,LOC101720103,ENSMUSG00000027824,Vmn2r1
101720455,Kcnab1,ENSMUSG00000027827,Kcnab1
101721516,Ssr3,ENSMUSG00000027828,Ssr3
101721870,Tiparp,ENSMUSG00000034640,Tiparp
101712881,Lekr1,ENSMUSG00000074579,Lekr1
101723623,Ccnl1,ENSMUSG00000027829,Ccnl1
101724343,Veph1,ENSMUSG00000027831,Veph1
101723987,Ptx3,ENSMUSG00000027832,Ptx3
101725435,Shox2,ENSMUSG00000027833,Shox2
101696287,Mlf1,ENSMUSG00000048416,Mlf1
101697641,Gfm1,ENSMUSG00000027774,Gfm1
101697275,Lxn,ENSMUSG00000047557,Lxn
101698009,Rarres1,ENSMUSG00000049404,Rarres1
101698383,Mfsd1,ENSMUSG00000027775,Mfsd1
101701392,Il12a,ENSMUSG00000027776,Il12a
101702095,LOC101702095,ENSMUSG00000046999,1110032F04Rik
101702438,Ift80,ENSMUSG00000027778,Ift80
101715738,Smc4,ENSMUSG00000034349,Smc4
101703051,Trim59,ENSMUSG00000034317,Trim59
101704586,Arl14,ENSMUSG00000098207,Arl14
101705935,Ppm1l,ENSMUSG00000027784,Ppm1l
101706281,B3galnt1,ENSMUSG00000043300,B3galnt1
101707382,Nmd3,ENSMUSG00000027787,Nmd3
101708568,Sptssb,ENSMUSG00000043461,Sptssb
101717451,Otol1,ENSMUSG00000027788,Otol1
101711933,Si,ENSMUSG00000027790,Sis
101712288,Slitrk3,ENSMUSG00000048304,Slitrk3
101712877,Bche,ENSMUSG00000027792,Bche
101722695,Zbbx,ENSMUSG00000034151,Zbbx
101714408,Serpini2,ENSMUSG00000034139,Serpini2
101723032,Wdr49,ENSMUSG00000104301,Wdr49
101715120,LOC101715120,ENSMUSG00000089901,Gm8113
101715475,Pdcd10,ENSMUSG00000027835,Pdcd10
101716288,Serpini1,ENSMUSG00000027834,Serpini1
101716863,Golim4,ENSMUSG00000034109,Golim4
101724814,LOC101724814,ENSMUSG00000063600,Egfem1
101718355,Mecom,ENSMUSG00000027684,Mecom
101720685,Actrt3,ENSMUSG00000037737,Actrt3
101721275,Mynn,ENSMUSG00000037730,Mynn
101726293,Lrrc34,ENSMUSG00000027702,Lrrc34
101721871,Lrriq4,ENSMUSG00000027703,Lrriq4
101726664,Lrrc31,ENSMUSG00000074653,Lrrc31
101722228,Samd7,ENSMUSG00000051860,Samd7
101722582,Sec62,ENSMUSG00000027706,Sec62
101723988,Phc3,ENSMUSG00000037652,Phc3
101697279,Prkci,ENSMUSG00000037643,Prkci
101725063,Skil,ENSMUSG00000027660,Skil
101725821,Cldn11,ENSMUSG00000037625,Cldn11
101726545,Slc7a14,ENSMUSG00000069072,Slc7a14
101696766,Rpl22l1,ENSMUSG00000039221,Rpl22l1
101697895,Eif5a2,ENSMUSG00000050192,Eif5a2
101699012,Slc2a2,ENSMUSG00000027690,Slc2a2
101699596,Tnik,ENSMUSG00000027692,Tnik
101700438,Pld1,ENSMUSG00000027695,Pld1
101698391,Tmem212,ENSMUSG00000043164,Tmem212
101701030,Fndc3b,ENSMUSG00000039286,Fndc3b
101702096,Ghsr,ENSMUSG00000051136,Ghsr
101702439,Tnfsf10,ENSMUSG00000039304,Tnfsf10
101703160,Nceh1,ENSMUSG00000027698,Nceh1
101704002,Ect2,ENSMUSG00000027699,Ect2
101704370,Spata16,ENSMUSG00000039335,Spata16
101705799,Nlgn1,ENSMUSG00000063887,Nlgn1
101707025,Naaladl2,ENSMUSG00000102758,Naaladl2
101708107,Tbl1xr1,ENSMUSG00000027630,Tbl1xr1
101701652,LOC101701652,ENSMUSG00000056223,Spata31
101709984,Kcnmb2,ENSMUSG00000037610,Kcnmb2
101710711,Zmat3,ENSMUSG00000027663,Zmat3
101711934,Pik3ca,ENSMUSG00000027665,Pik3ca
101712289,Kcnmb3,ENSMUSG00000091091,Kcnmb3
101713970,Znf639,ENSMUSG00000027667,Zfp639
101715379,Mfn1,ENSMUSG00000027668,Mfn1
101714761,Gnb4,ENSMUSG00000027669,Gnb4
101716407,Actl6a,ENSMUSG00000027671,Actl6a
101715829,Mrpl47,ENSMUSG00000037531,Mrpl47
101716995,Ndufb5,ENSMUSG00000027673,Ndufb5
101717563,Usp13,ENSMUSG00000056900,Usp13
101718357,Pex5l,ENSMUSG00000027674,Pex5l
101719861,Ttc14,ENSMUSG00000027677,Ttc14
101720210,Ccdc39,ENSMUSG00000027676,Ccdc39
101721153,Fxr1,ENSMUSG00000027680,Fxr1
101722454,Dnajc19,ENSMUSG00000027679,Dnajc19
106009284,LOC106009284,ENSMUSG00000105265,Sox2ot
101723266,Sox2,ENSMUSG00000074637,Sox2
101725306,Atp11b,ENSMUSG00000037400,Atp11b
101725693,Dcun1d1,ENSMUSG00000027708,Dcun1d1
101704843,Mccc1,ENSMUSG00000027709,Mccc1
101726660,Lmln,ENSMUSG00000022802,Lmln
101696530,Rpl35a,ENSMUSG00000060636,Rpl35a
101697383,Iqcg,ENSMUSG00000035578,Iqcg
101705568,Lrch3,ENSMUSG00000022801,Lrch3
101698267,Fyttd1,ENSMUSG00000022800,Fyttd1
101699241,Kiaa0226,ENSMUSG00000035629,Rubcn
101700440,Muc20,ENSMUSG00000035638,Muc20
101700798,Muc4,ENSMUSG00000079620,Muc4
101701156,Tnk2,ENSMUSG00000022791,Tnk2
100913079,Tfrc,ENSMUSG00000022797,Tfrc
101704371,Zdhhc19,ENSMUSG00000052363,Zdhhc19
101704713,Slc51a,ENSMUSG00000035699,Slc51a
101705565,Pcyt1a,ENSMUSG00000005615,Pcyt1a
101705938,Tctex1d2,ENSMUSG00000014075,Tctex1d2
101706773,Tm4sf19,ENSMUSG00000079625,Tm4sf19
101707384,Ubxn7,ENSMUSG00000053774,Ubxn7
101708108,Rnf168,ENSMUSG00000014074,Rnf168
101705944,Smco1,ENSMUSG00000046345,Smco1
101708802,Wdr53,ENSMUSG00000022787,Wdr53
101708452,Fbxo45,ENSMUSG00000035764,Fbxo45
101709402,Nrros,ENSMUSG00000052384,Nrros
101711066,Cep19,ENSMUSG00000035790,Cep19
101706286,Pigx,ENSMUSG00000023791,Pigx
101710712,Pak2,ENSMUSG00000022781,Pak2
101712765,Senp5,ENSMUSG00000022772,Senp5
101713846,Ncbp2,ENSMUSG00000022774,Ncbp2
101714762,Pigz,ENSMUSG00000045625,Pigz
101707389,Mfi2,ENSMUSG00000022780,Mfi2
101716409,Dlg1,ENSMUSG00000022770,Dlg1
101721736,Bdh1,ENSMUSG00000046598,Bdh1
101723269,Apod,ENSMUSG00000022548,Apod
101708807,Ppp1r2,ENSMUSG00000047714,Ppp1r2
101723627,Acap2,ENSMUSG00000049076,Acap2
101724924,Xxylt1,ENSMUSG00000047434,Xxylt1
101725694,Fam43a,ENSMUSG00000046546,Fam43a
101726054,Lsg1,ENSMUSG00000022538,Lsg1
101726426,Atp13a3,ENSMUSG00000022533,Atp13a3
101709884,Gp5,ENSMUSG00000047953,Gp5
101696532,Lrrc15,ENSMUSG00000052316,Lrrc15
101696901,Cpn2,ENSMUSG00000023176,Cpn2
101697897,Hes1,ENSMUSG00000022528,Hes1
101698766,Opa1,ENSMUSG00000038084,Opa1
101700201,Atp13a4,ENSMUSG00000038094,Atp13a4
101699850,Atp13a5,ENSMUSG00000048939,Atp13a5
101700575,Hrasls,ENSMUSG00000022525,Hrasls
101701742,Mb21d2,ENSMUSG00000051065,Mb21d2
101702098,Fgf12,ENSMUSG00000022523,Fgf12
101704004,Ccdc50,ENSMUSG00000038127,Ccdc50
101710246,Uts2b,ENSMUSG00000056423,Uts2b
101705056,Ostn,ENSMUSG00000052276,Ostn
101706662,Gmnc,ENSMUSG00000068428,Gmnc
101707386,Il1rap,ENSMUSG00000022514,Il1rap
101711335,Tmem207,ENSMUSG00000091972,Tmem207
101708685,Cldn16,ENSMUSG00000038148,Cldn16
101709404,Cldn1,ENSMUSG00000022512,Cldn1
101709763,P3h2,ENSMUSG00000038168,P3h2
101710600,Tp63,ENSMUSG00000022510,Trp63
101711439,Tprg1,ENSMUSG00000048399,Tprg
101712406,Lpp,ENSMUSG00000033306,Lpp
101713721,Bcl6,ENSMUSG00000022508,Bcl6
101712772,Rtp2,ENSMUSG00000047531,Rtp2
101715255,Sst,ENSMUSG00000004366,Sst
101715954,Rtp4,ENSMUSG00000033355,Rtp4
101716867,Masp1,ENSMUSG00000022887,Masp1
101717682,Rtp1,ENSMUSG00000033383,Rtp1
101718025,St6gal1,ENSMUSG00000022885,St6gal1
101718713,Adipoq,ENSMUSG00000022878,Adipoq
101719049,Rfc4,ENSMUSG00000022881,Rfc4
101719864,Eif4a2,ENSMUSG00000022884,Eif4a2
101721023,Kng1,ENSMUSG00000022875,Kng1
101722102,Hrg,ENSMUSG00000022877,Hrg
101722455,Fetub,ENSMUSG00000022871,Fetub
101723028,Ahsg,ENSMUSG00000022868,Ahsg
101724347,Dnajb11,ENSMUSG00000004460,Dnajb11
101724693,Tbccd1,ENSMUSG00000004462,Tbccd1
101725823,Crygs,ENSMUSG00000033501,Crygs
101726548,Dgkg,ENSMUSG00000022861,Dgkg
101696771,Etv5,ENSMUSG00000013089,Etv5
101714544,Tra2b,ENSMUSG00000022858,Tra2b
101697516,Senp2,ENSMUSG00000022855,Senp2
101699015,Liph,ENSMUSG00000044626,Liph
101698126,Tmem41a,ENSMUSG00000022856,Tmem41a
101700680,Map3k13,ENSMUSG00000033618,Map3k13
101699730,Ehhadh,ENSMUSG00000022853,Ehhadh
101701999,LOC101701999,ENSMUSG00000043391,2510009E07Rik
101715959,Vps8,ENSMUSG00000033653,Vps8
101702571,Ephb3,ENSMUSG00000005958,Ephb3
101703283,LOC101703283,ENSMUSG00000090356,Teddm3
101704243,Chrd,ENSMUSG00000006958,Chrd
101705058,Thpo,ENSMUSG00000022847,Thpo
101706663,Polr2h,ENSMUSG00000021018,Polr2h
101708110,Clcn2,ENSMUSG00000022843,Clcn2
101707028,Fam131a,ENSMUSG00000050821,Fam131a
101709881,Eif4g1,ENSMUSG00000045983,Eif4g1
101711698,Psmd2,ENSMUSG00000006998,Psmd2
101712068,Ece2,ENSMUSG00000022842,Ece2
101714073,Camk2n2,ENSMUSG00000051146,Camk2n2
101714764,Alg3,ENSMUSG00000033809,Alg3
101714412,Vwa5b2,ENSMUSG00000046613,Vwa5b2
101715381,Abcf3,ENSMUSG00000003234,Abcf3
101716647,Ap2m1,ENSMUSG00000022841,Ap2m1
101716996,Dvl3,ENSMUSG00000003233,Dvl3
101717780,Eif2b5,ENSMUSG00000003235,Eif2b5
101718472,Abcc5,ENSMUSG00000022822,Abcc5
101719514,Parl,ENSMUSG00000033918,Parl
101720106,Map6d1,ENSMUSG00000041205,Map6d1
101720457,Yeats2,ENSMUSG00000041215,Yeats2
101721024,Klhl24,ENSMUSG00000062901,Klhl24
101722339,Klhl6,ENSMUSG00000043008,Klhl6
101723270,B3gnt5,ENSMUSG00000022686,B3gnt5
101725065,Lamp3,ENSMUSG00000041247,Lamp3
101726055,Osbpl11,ENSMUSG00000022807,Osbpl11
101698388,Spink8,ENSMUSG00000050074,Spink8
101696650,Nme6,ENSMUSG00000032478,Nme6
101698769,Camp,ENSMUSG00000038357,Camp
101699133,Cdc25a,ENSMUSG00000032477,Cdc25a
101702000,Map4,ENSMUSG00000032479,Map4
101700443,Dhx30,ENSMUSG00000032480,Dhx30
101706151,Smarcc1,ENSMUSG00000032481,Smarcc1
101706513,Cspg5,ENSMUSG00000032482,Cspg5
101707387,Elp6,ENSMUSG00000054836,Elp6
101707740,Scap,ENSMUSG00000032485,Scap
101708332,Ptpn23,ENSMUSG00000036057,Ptpn23
101708924,LOC101708924,ENSMUSG00000032484,Ngp
101710603,Klhl18,ENSMUSG00000054792,Klhl18
101709297,Kif9,ENSMUSG00000032489,Kif9
101719404,Setd2,ENSMUSG00000044791,Setd2
101711815,LOC101711815,ENSMUSG00000032491,Nradd
101713722,Nbeal2,ENSMUSG00000056724,Nbeal2
101713370,Ccdc12,ENSMUSG00000019659,Ccdc12
101715956,Pth1r,ENSMUSG00000032492,Pth1r
101716754,Myl3,ENSMUSG00000059741,Myl3
101717781,Prss45,ENSMUSG00000047257,Prss45
101720108,Prss50,ENSMUSG00000048752,Prss50
101720816,Tmie,ENSMUSG00000049555,Tmie
101718135,Als2cl,ENSMUSG00000044037,Als2cl
106010152,LOC106010152,ENSMUSG00000096393,Gm590
101721157,Tdgf1,ENSMUSG00000032494,Tdgf1
101721631,Lrrc2,ENSMUSG00000032495,Lrrc2
101721977,Rtp3,ENSMUSG00000066319,Rtp3
101722340,Ltf,ENSMUSG00000032496,Ltf
101722915,Ccrl2,ENSMUSG00000043953,Ccrl2
101723738,Ccr5,ENSMUSG00000079227,Ccr5
101724105,Ccr2,ENSMUSG00000049103,Ccr2
101724462,Ccr3,ENSMUSG00000035448,Ccr3
101724812,Ccr1,ENSMUSG00000025804,Ccr1
101725439,Xcr1,ENSMUSG00000060509,Xcr1
101726184,Fyco1,ENSMUSG00000025241,Fyco1
101725825,Cxcr6,ENSMUSG00000048521,Cxcr6
101721877,Ccr9,ENSMUSG00000029530,Ccr9
101697012,Lztfl1,ENSMUSG00000025245,Lztfl1
101697646,Slc6a20,ENSMUSG00000036814,Slc6a20a
101699134,Sacm1l,ENSMUSG00000025240,Sacm1l
101699485,Limd1,ENSMUSG00000025239,Limd1
101699853,Lars2,ENSMUSG00000035202,Lars2
101700444,Tmem158,ENSMUSG00000054871,Tmem158
101700801,Cdcp1,ENSMUSG00000035498,Cdcp1
101701397,Clec3b,ENSMUSG00000025784,Clec3b
101703631,Exosc7,ENSMUSG00000025785,Exosc7
101701745,Zdhhc3,ENSMUSG00000025786,Zdhhc3
101704718,Tmem42,ENSMUSG00000066233,Tmem42
101705312,Kif15,ENSMUSG00000036768,Kif15
101705688,Kiaa1143,ENSMUSG00000032551,1110059G10Rik
101722919,LOC101722919,ENSMUSG00000057895,Zfp105
101723275,LOC101723275,ENSMUSG00000063488,Zkscan7
101707247,Znf445,ENSMUSG00000047036,Zfp445
101707614,Tcaim,ENSMUSG00000046603,Tcaim
101708455,Abhd5,ENSMUSG00000032540,Abhd5
